threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,experiment,model
0.1,0.9736126224156693,0.4759036144578313,0.8876404494382022,0.6196078431372549,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.11,0.9736126224156693,0.475,0.8539325842696629,0.6104417670682731,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.12,0.9738846572361263,0.47770700636942676,0.8426966292134831,0.6097560975609756,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.13,0.9749727965179543,0.4900662251655629,0.8314606741573034,0.6166666666666667,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.13999999999999999,0.9755168661588683,0.4965986394557823,0.8202247191011236,0.6186440677966102,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.14999999999999997,0.9768770402611534,0.5140845070422535,0.8202247191011236,0.6320346320346321,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.15999999999999998,0.9787812840043526,0.5413533834586466,0.8089887640449438,0.6486486486486487,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.16999999999999998,0.9793253536452666,0.5511811023622047,0.7865168539325843,0.6481481481481481,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.17999999999999997,0.9798694232861807,0.56,0.7865168539325843,0.6542056074766355,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.18999999999999995,0.9801414581066377,0.5666666666666667,0.7640449438202247,0.6507177033492823,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.19999999999999996,0.9801414581066377,0.5666666666666667,0.7640449438202247,0.6507177033492823,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.20999999999999996,0.9806855277475517,0.5789473684210527,0.7415730337078652,0.6502463054187192,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.21999999999999995,0.9801414581066377,0.5714285714285714,0.7191011235955056,0.6368159203980099,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.22999999999999995,0.9806855277475517,0.5833333333333334,0.7078651685393258,0.6395939086294417,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.23999999999999994,0.9817736670293797,0.6057692307692307,0.7078651685393258,0.6528497409326425,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.24999999999999992,0.9817736670293797,0.61,0.6853932584269663,0.6455026455026455,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.2599999999999999,0.9820457018498367,0.6185567010309279,0.6741573033707865,0.6451612903225806,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.2699999999999999,0.9825897714907508,0.6344086021505376,0.6629213483146067,0.6483516483516484,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.2799999999999999,0.9834058759521219,0.6555555555555556,0.6629213483146067,0.659217877094972,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.2899999999999999,0.9834058759521219,0.6627906976744186,0.6404494382022472,0.6514285714285715,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.29999999999999993,0.9836779107725789,0.6790123456790124,0.6179775280898876,0.6470588235294118,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.30999999999999994,0.9836779107725789,0.6790123456790124,0.6179775280898876,0.6470588235294118,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.3199999999999999,0.983949945593036,0.6923076923076923,0.6067415730337079,0.6467065868263473,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.32999999999999985,0.984221980413493,0.7066666666666667,0.5955056179775281,0.6463414634146342,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.33999999999999986,0.984221980413493,0.7123287671232876,0.5842696629213483,0.6419753086419753,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.34999999999999987,0.9834058759521219,0.7,0.550561797752809,0.6163522012578616,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.3599999999999999,0.984221980413493,0.7313432835820896,0.550561797752809,0.6282051282051282,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.3699999999999999,0.984766050054407,0.7538461538461538,0.550561797752809,0.6363636363636364,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.3799999999999999,0.985038084874864,0.7741935483870968,0.5393258426966292,0.6357615894039735,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.3899999999999999,0.985310119695321,0.7868852459016393,0.5393258426966292,0.64,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.3999999999999998,0.98449401523395,0.7758620689655172,0.5056179775280899,0.6122448979591837,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.4099999999999998,0.984221980413493,0.7818181818181819,0.48314606741573035,0.5972222222222222,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.4199999999999998,0.9834058759521219,0.78,0.43820224719101125,0.5611510791366906,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.4299999999999998,0.9834058759521219,0.7916666666666666,0.42696629213483145,0.5547445255474452,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.43999999999999984,0.9828618063112078,0.782608695652174,0.4044943820224719,0.5333333333333333,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
0.44999999999999984,0.9834058759521219,0.8181818181818182,0.4044943820224719,0.5413533834586466,0.9892464361004,0.7486626033576076,0.011884304278172483,parking_only,logistic
