threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
0.1,0.9776931447225244,0.5234899328859061,0.8764044943820225,0.6554621848739496,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.11,0.9793253536452666,0.5454545454545454,0.8764044943820225,0.6724137931034483,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.12,0.9793253536452666,0.5454545454545454,0.8764044943820225,0.6724137931034483,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.13,0.9809575625680087,0.5714285714285714,0.8539325842696629,0.6846846846846847,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.13999999999999999,0.9812295973884657,0.578125,0.8314606741573034,0.6820276497695853,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.14999999999999997,0.9817736670293797,0.5916666666666667,0.797752808988764,0.6794258373205742,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.15999999999999998,0.9812295973884657,0.5862068965517241,0.7640449438202247,0.6634146341463415,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.16999999999999998,0.9823177366702938,0.6071428571428571,0.7640449438202247,0.6766169154228856,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.17999999999999997,0.9825897714907508,0.6126126126126126,0.7640449438202247,0.68,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.18999999999999995,0.9828618063112078,0.6203703703703703,0.7528089887640449,0.6802030456852792,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.19999999999999996,0.9831338411316648,0.6285714285714286,0.7415730337078652,0.6804123711340206,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.20999999999999996,0.9834058759521219,0.6372549019607843,0.7303370786516854,0.680628272251309,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.21999999999999995,0.9834058759521219,0.64,0.7191011235955056,0.6772486772486772,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.22999999999999995,0.984221980413493,0.6597938144329897,0.7191011235955056,0.6881720430107527,0.9929176207465785,0.7852872234538903,0.010656221461213361
0.23999999999999994,0.984766050054407,0.6736842105263158,0.7191011235955056,0.6956521739130435,0.9929176207465785,0.7852872234538903,0.010656221461213361
