candidate_id,family,config,fit_seconds,threshold,selected,validation_rows,validation_positive_rows,validation_prevalence,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_roc_auc,validation_brier,validation_tn,validation_fp,validation_fn,validation_tp,test_rows,test_positive_rows,test_prevalence,test_precision,test_recall,test_f1,test_pr_auc,test_roc_auc,test_brier,test_tn,test_fp,test_fn,test_tp
random_forest_default,random_forest,500 trees; min_samples_leaf=2; class_weight=None,0.8706861999962712,0.32,True,484,76,0.15702479338842976,0.7215189873417721,0.75,0.7354838709677419,0.7957309484875378,0.9389189886480908,0.06444498654512647,386,22,19,57,362,65,0.17955801104972377,0.6986301369863014,0.7846153846153846,0.7391304347826086,0.8212169179186058,0.9359233359233359,0.06830073303049748,275,22,14,51
random_forest_balanced,random_forest,500 trees; min_samples_leaf=2; class_weight=balanced_subsample,1.0672176999942167,0.36,False,484,76,0.15702479338842976,0.6666666666666666,0.7894736842105263,0.7228915662650602,0.7938177030745133,0.9410797213622292,0.06453881501190908,378,30,16,60,362,65,0.17955801104972377,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8268735810628973,0.9382025382025383,0.06894716379522038,267,30,10,55
catboost_default,catboost,depth=7; learning_rate=0.05; class_weights=None,11.878674399995361,0.33,False,484,76,0.15702479338842976,0.7297297297297297,0.7105263157894737,0.72,0.7955062315965012,0.9453366873065016,0.06553760615362066,388,20,22,54,362,65,0.17955801104972377,0.7571428571428571,0.8153846153846154,0.7851851851851852,0.8396294674361058,0.9481481481481482,0.06337486736037393,280,17,12,53
logistic_balanced,logistic_regression,class_weight=balanced,0.026156299994909205,0.67,False,484,76,0.15702479338842976,0.6867469879518072,0.75,0.7169811320754716,0.7433236489223195,0.9274703302373581,0.10028023163396829,382,26,19,57,362,65,0.17955801104972377,0.6666666666666666,0.8615384615384616,0.7516778523489933,0.816448320355172,0.9403781403781404,0.11192344688152872,269,28,9,56
catboost_balanced,catboost,"depth=7; learning_rate=0.05; class_weights=[1,5.683333]",10.807115400006296,0.63,False,484,76,0.15702479338842976,0.6746987951807228,0.7368421052631579,0.7044025157232704,0.795614434605928,0.9416279669762642,0.08020863431933628,381,27,20,56,362,65,0.17955801104972377,0.7012987012987013,0.8307692307692308,0.7605633802816901,0.8462947795441792,0.9492359492359492,0.0864787620832294,274,23,11,54
logistic_default,logistic_regression,class_weight=None,0.06898809999984223,0.31,False,484,76,0.15702479338842976,0.675,0.7105263157894737,0.6923076923076923,0.7507669750470208,0.9307275541795665,0.07046530779424537,382,26,22,54,362,65,0.17955801104972377,0.6746987951807228,0.8615384615384616,0.7567567567567568,0.8268874439500926,0.9452473452473453,0.06477019506500811,270,27,9,56
baseline_remains_saturated,baseline,always predict no recovery,0.0,0.5,False,484,76,0.15702479338842976,0.0,0.0,0.0,0.15702479338842976,0.5,0.15702479338842976,408,0,76,0,362,65,0.17955801104972377,0.0,0.0,0.0,0.17955801104972377,0.5,0.17955801104972377,297,0,65,0
