candidate_id,family,config,threshold,rows,positive_rows,prevalence,precision,recall,f1,pr_auc,roc_auc,brier,tn,fp,fn,tp,is_selected_threshold
baseline_remains_saturated,baseline,always predict no recovery,0.5,484,76,0.15702479338842976,0.0,0.0,0.0,0.15702479338842976,0.5,0.15702479338842976,408,0,76,0,True
logistic_default,logistic_regression,class_weight=None,0.05,484,76,0.15702479338842976,0.3956043956043956,0.9473684210526315,0.5581395348837209,0.7507669750470208,0.9307275541795665,0.07046530779424537,298,110,4,72,False
logistic_default,logistic_regression,class_weight=None,0.06,484,76,0.15702479338842976,0.4093567251461988,0.9210526315789473,0.5668016194331984,0.7507669750470208,0.9307275541795665,0.07046530779424537,307,101,6,70,False
logistic_default,logistic_regression,class_weight=None,0.07,484,76,0.15702479338842976,0.425,0.8947368421052632,0.576271186440678,0.7507669750470208,0.9307275541795665,0.07046530779424537,316,92,8,68,False
logistic_default,logistic_regression,class_weight=None,0.08,484,76,0.15702479338842976,0.4407894736842105,0.881578947368421,0.5877192982456141,0.7507669750470208,0.9307275541795665,0.07046530779424537,323,85,9,67,False
logistic_default,logistic_regression,class_weight=None,0.09,484,76,0.15702479338842976,0.4583333333333333,0.868421052631579,0.6,0.7507669750470208,0.9307275541795665,0.07046530779424537,330,78,10,66,False
logistic_default,logistic_regression,class_weight=None,0.1,484,76,0.15702479338842976,0.463768115942029,0.8421052631578947,0.5981308411214953,0.7507669750470208,0.9307275541795665,0.07046530779424537,334,74,12,64,False
logistic_default,logistic_regression,class_weight=None,0.11,484,76,0.15702479338842976,0.46616541353383456,0.8157894736842105,0.5933014354066986,0.7507669750470208,0.9307275541795665,0.07046530779424537,337,71,14,62,False
logistic_default,logistic_regression,class_weight=None,0.12,484,76,0.15702479338842976,0.4732824427480916,0.8157894736842105,0.5990338164251208,0.7507669750470208,0.9307275541795665,0.07046530779424537,339,69,14,62,False
logistic_default,logistic_regression,class_weight=None,0.13,484,76,0.15702479338842976,0.49193548387096775,0.8026315789473685,0.61,0.7507669750470208,0.9307275541795665,0.07046530779424537,345,63,15,61,False
logistic_default,logistic_regression,class_weight=None,0.14,484,76,0.15702479338842976,0.5126050420168067,0.8026315789473685,0.6256410256410256,0.7507669750470208,0.9307275541795665,0.07046530779424537,350,58,15,61,False
logistic_default,logistic_regression,class_weight=None,0.15,484,76,0.15702479338842976,0.5304347826086957,0.8026315789473685,0.6387434554973822,0.7507669750470208,0.9307275541795665,0.07046530779424537,354,54,15,61,False
logistic_default,logistic_regression,class_weight=None,0.16,484,76,0.15702479338842976,0.5446428571428571,0.8026315789473685,0.648936170212766,0.7507669750470208,0.9307275541795665,0.07046530779424537,357,51,15,61,False
logistic_default,logistic_regression,class_weight=None,0.17,484,76,0.15702479338842976,0.5545454545454546,0.8026315789473685,0.6559139784946236,0.7507669750470208,0.9307275541795665,0.07046530779424537,359,49,15,61,False
logistic_default,logistic_regression,class_weight=None,0.18,484,76,0.15702479338842976,0.5596330275229358,0.8026315789473685,0.6594594594594595,0.7507669750470208,0.9307275541795665,0.07046530779424537,360,48,15,61,False
