candidate_id,family,feature_set,fold,train_end,validation_end,train_rows,validation_rows,validation_positives,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
existing_random_forest,random_forest,existing,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,4.068365099999937,0.32999999999999985,0.9931640625,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,random_forest,existing,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,5.566814799996791,0.20999999999999996,0.9905245346869712,0.74,0.7115384615384616,0.7254901960784313,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,random_forest,existing,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.103696999998647,0.2599999999999999,0.985854189336235,0.6989247311827957,0.7303370786516854,0.7142857142857143,0.9929552096678705,0.7894736377961277,0.011018375030132288
rf_default_selected_features,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,6.787331100000301,0.4199999999999998,0.9938151041666666,0.7804878048780488,0.7619047619047619,0.7710843373493976,0.9964953638220966,0.7823952874717985,0.005332572042978209
rf_default_selected_features,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,8.298697499994887,0.3599999999999999,0.9908629441624366,0.8205128205128205,0.6153846153846154,0.7032967032967034,0.982216672407854,0.7397195127742229,0.008347891747491273
rf_default_selected_features,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,10.399689700003364,0.18999999999999995,0.9836779107725789,0.6218487394957983,0.8314606741573034,0.7115384615384616,0.9921705409359015,0.7882706007959921,0.010681769956133286
rf_none_leaf1_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,7.81945719999203,0.34999999999999987,0.9938151041666666,0.7446808510638298,0.8333333333333334,0.7865168539325843,0.9963696369636964,0.766184726806583,0.005318549479166667
rf_none_leaf1_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,11.380746900002123,0.33999999999999986,0.9905245346869712,0.7857142857142857,0.6346153846153846,0.7021276595744681,0.9823292880044516,0.7544861680332914,0.008131614213197969
rf_none_leaf1_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,13.231447099999059,0.29999999999999993,0.985854189336235,0.7283950617283951,0.6629213483146067,0.6941176470588235,0.9919387425879346,0.7836632307954136,0.010565057671381937
rf_none_leaf1_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,9.00822750000225,0.3599999999999999,0.9938151041666666,0.7446808510638298,0.8333333333333334,0.7865168539325843,0.9964521452145214,0.7705840548551872,0.005322717143044441
