candidate_id,family,feature_set,fold,train_end,validation_end,train_rows,validation_rows,validation_positives,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
feature_probe_existing,random_forest,existing,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,4.065990600007353,0.32999999999999985,0.9931640625,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.9967153858242968,0.7655507436390627,0.005742281615793217
feature_probe_existing,random_forest,existing,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,4.214938900011475,0.20999999999999996,0.9905245346869712,0.74,0.7115384615384616,0.7254901960784313,0.9888179337025358,0.7376011902286215,0.008884308696466293
feature_probe_existing,random_forest,existing,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,5.211272700005793,0.2599999999999999,0.985854189336235,0.6989247311827957,0.7303370786516854,0.7142857142857143,0.9929552096678705,0.7894736377961277,0.011018375030132288
feature_probe_distance_changes,random_forest,distance_changes,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,3.948664399998961,0.30999999999999994,0.9931640625,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9966603803237466,0.7544092922591897,0.00557859721721029
feature_probe_distance_changes,random_forest,distance_changes,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,5.331595499999821,0.30999999999999994,0.9905245346869712,0.8,0.6153846153846154,0.6956521739130435,0.9814813588065396,0.7382695106362528,0.008606989021044729
feature_probe_distance_changes,random_forest,distance_changes,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,6.477564100001473,0.21999999999999995,0.9836779107725789,0.6355140186915887,0.7640449438202247,0.6938775510204082,0.9921627099106324,0.7831616254413567,0.010874024122371468
feature_probe_dynamics,random_forest,dynamics,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,5.881458599993493,0.3699999999999999,0.9938151041666666,0.7948717948717948,0.7380952380952381,0.7654320987654321,0.9965503693226465,0.7683074993808583,0.005382850919815055
feature_probe_dynamics,random_forest,dynamics,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,7.169846899996628,0.3199999999999999,0.9908629441624366,0.8048780487804879,0.6346153846153846,0.7096774193548387,0.9813687432099419,0.7300948326550943,0.0083382839008907
feature_probe_dynamics,random_forest,dynamics,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,9.154497399998945,0.29999999999999993,0.985582154515778,0.7307692307692307,0.6404494382022472,0.6826347305389222,0.9917367021359905,0.7724743433323434,0.010966003674757955
feature_probe_dynamics_history,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,6.200508199995966,0.4199999999999998,0.9938151041666666,0.7804878048780488,0.7619047619047619,0.7710843373493976,0.9964953638220966,0.7823952874717985,0.005332572042978209
feature_probe_dynamics_history,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,7.447471999999834,0.3599999999999999,0.9908629441624366,0.8205128205128205,0.6153846153846154,0.7032967032967034,0.982216672407854,0.7397195127742229,0.008347891747491273
feature_probe_dynamics_history,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,9.983194500004174,0.18999999999999995,0.9836779107725789,0.6218487394957983,0.8314606741573034,0.7115384615384616,0.9921705409359015,0.7882706007959921,0.010681769956133286
