candidate_id,family,feature_set,is_new,params,mean_precision,mean_recall,mean_f1,mean_pr_auc,mean_roc_auc,mean_brier,mean_fit_seconds,selection_score
catboost_positive_4,catboost,dynamics_history,True,"{""class_weights"": [1.0, 4.0], ""depth"": 7, ""learning_rate"": 0.05}",0.7411512608441847,0.7846201863055796,0.760440211083282,0.8113330005262996,0.9925084308314057,0.009071777429530655,10.298798333329614,0.7858866058047909
catboost_none,catboost,dynamics_history,True,"{""class_weights"": null, ""depth"": 7, ""learning_rate"": 0.05}",0.7311437908496732,0.7934484367068637,0.7592765440962784,0.8095895524209311,0.9925979175971512,0.007936163757145372,13.836834033335132,0.7844330482586048
catboost_positive_8,catboost,dynamics_history,True,"{""class_weights"": [1.0, 8.0], ""depth"": 7, ""learning_rate"": 0.05}",0.7439798809180832,0.7822124816506838,0.7596159056498525,0.8000007425811262,0.9928234926088187,0.009346329993752131,9.567162533339191,0.7798083241154894
catboost_positive_2,catboost,dynamics_history,True,"{""class_weights"": [1.0, 2.0], ""depth"": 7, ""learning_rate"": 0.05}",0.7330161501527717,0.776999218010454,0.7514179057657319,0.8065790691174938,0.9937816936653062,0.010776495187852259,10.152709000001778,0.7789984874416128
catboost_auto_balanced,catboost,dynamics_history,True,"{""auto_class_weights"": ""Balanced"", ""depth"": 7, ""learning_rate"": 0.05}",0.6758054254150038,0.8095100904089669,0.7331263870723642,0.795059146503441,0.9936987674658707,0.013255687574318808,15.793773566663731,0.7640927667879026
rf_balanced_subsample_leaf4_depthnone,random_forest,dynamics_history,True,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.6944847605224963,0.791476313948224,0.7382251318421531,0.7726386427669821,0.9913456026994562,0.00773907473415425,7.770841366669629,0.7554318873045676
rf_balanced_subsample_leaf2_depthnone,random_forest,dynamics_history,True,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7210814767805648,0.7733842312493998,0.744738675998356,0.7657553428092284,0.9915559162899462,0.007799644182427935,6.6488360333363135,0.7552470094037922
rf_positive_2_leaf1_depth12,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 2.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.755032313171848,0.7450782675501778,0.7422753716871364,0.7678295144009786,0.9902831937525636,0.007853783522522135,10.81198480000603,0.7550524430440575
rf_positive_2_leaf1_depthnone,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 2.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.7771317829457365,0.7140353404398349,0.7427751418225341,0.7637076268412121,0.9905639697712929,0.007845286755062063,11.454903633333743,0.753241384331873
rf_positive_2_leaf2_depthnone,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 2.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7526994078718218,0.7434937097858446,0.7359889307138315,0.7680891690291421,0.9930245999840416,0.007876226380491222,8.784044099995905,0.7520390498714868
rf_balanced_subsample_leaf1_depthnone,random_forest,dynamics_history,True,"{""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.7279072514855152,0.7467211315525922,0.7367583327548419,0.765811289601943,0.9915271756272451,0.008678512843672192,6.6630911333292415,0.7512848111783925
rf_positive_4_leaf2_depthnone,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 4.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7511882342390818,0.7434937097858446,0.7331889610750181,0.7683007420884208,0.9932234841334591,0.007857201508950263,10.280193866667105,0.7507448515817194
rf_none_leaf1_depth12,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.7216396487673084,0.7702151157207338,0.7338608589616872,0.7668779242800011,0.9889667062815607,0.008055905367492107,9.689479966667326,0.7503693916208442
rf_balanced_leaf2_depthnone,random_forest,dynamics_history,True,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7062657880063132,0.7654477233128918,0.7337471819206574,0.7667170271461418,0.9913271699421272,0.007977827041459953,4.988050199996603,0.7502321045333995
rf_default_selected_features,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 400}",0.7409497882955559,0.7362500171488936,0.7286398340615209,0.7701284670140045,0.9902941923886174,0.008120744582200924,8.49523943333285,0.7493841505377627
rf_positive_2_leaf2_depth12,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 2.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.8046914325984093,0.6831227449204977,0.7334995153025897,0.7651350453417023,0.9929329091236815,0.007887351632265047,9.66836483333221,0.749317280322146
rf_none_leaf1_depthnone,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.7529300661688368,0.7102900220877749,0.7275873868552919,0.7681113752117626,0.9902125558520275,0.008005073787915524,10.810550399997737,0.7478493810335273
rf_positive_4_leaf2_depth12,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 4.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7476928755998523,0.7430478385534566,0.7291098636728148,0.7663753647840892,0.9930305169991026,0.007901980580944533,9.635204233335875,0.747742614228452
rf_none_leaf2_depth12,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7365993832352117,0.7325046987968337,0.7263105444045536,0.769097683904061,0.990274943056353,0.00813085990000647,9.923983366665198,0.7477041141543073
rf_balanced_leaf1_depthnone,random_forest,dynamics_history,True,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.7014018691588785,0.7707192931912034,0.7317184265010352,0.7632942219262683,0.9914355383775127,0.007713956890891427,5.179351433330642,0.7475063242136517
rf_positive_4_leaf1_depthnone,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 4.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.7459842995169083,0.7263516757898781,0.7312698073567638,0.7625736668300496,0.9936652667105408,0.007835465765800652,8.664432033328922,0.7469217370934067
rf_none_leaf2_depthnone,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.7400696341646277,0.7260944423865773,0.7229036967719855,0.7700220315542369,0.9903616663404389,0.008107829542180105,8.64686379999815,0.7464628641631113
rf_balanced_subsample_leaf4_depth12,random_forest,dynamics_history,True,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.7122697020482587,0.7576998532054712,0.728387051004535,0.7642015530958771,0.9910095707051282,0.008373486286121964,7.992261433333624,0.7462943020502061
rf_positive_4_leaf4_depthnone,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 4.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.7514757969303423,0.7313660122648887,0.7267104542966613,0.7655041672428459,0.9902410897641979,0.008055814742322831,9.11359976666669,0.7461073107697536
existing_random_forest,random_forest,existing,False,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 400}",0.7360518334711884,0.7187204181586204,0.7268388837016287,0.7642085238879374,0.9928295097315677,0.008548321780797266,5.2462922999984585,0.745523703794783
rf_positive_4_leaf4_depth12,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 4.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.749231950844854,0.7351113306169487,0.7265316034135849,0.7644847452020413,0.992709234531077,0.008092598334920431,9.233037166666085,0.7455081743078131
rf_balanced_leaf4_depthnone,random_forest,dynamics_history,True,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.6888147530349366,0.7676667901387003,0.7253239235192184,0.7627613311181,0.9909143144971863,0.009917232140660742,5.00827799999873,0.7440426273186591
rf_none_leaf4_depth12,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.7600784973366975,0.6871150073397265,0.719516405543121,0.7666432802305,0.9924419554629137,0.008275191486918257,9.55208556666427,0.7430798428868105
rf_positive_4_leaf1_depth12,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 4.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.717457563322225,0.7503498374284892,0.7240116205633447,0.7612280140141044,0.9937038230569493,0.007826815450689474,9.596671399999954,0.7426198172887246
rf_none_leaf4_depthnone,random_forest,dynamics_history,True,"{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.7296620046620047,0.7188610390857582,0.7173991439188447,0.7655467760955285,0.9924234629639451,0.00827406313842874,10.14364203333389,0.7414729600071865
rf_positive_2_leaf4_depthnone,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 2.0}, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.7482578397212544,0.6917520681565624,0.7164185073243262,0.7627700475882332,0.9900458595630939,0.00795909889907462,10.025412066665012,0.7395942774562797
rf_positive_2_leaf4_depth12,random_forest,dynamics_history,True,"{""class_weight"": {""0"": 1.0, ""1"": 2.0}, ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.7017048901832302,0.7554224801415813,0.7153989543723749,0.761114063409583,0.9897692785822785,0.007968401871622337,9.998834133332517,0.7382565088909789
rf_balanced_leaf4_depth12,random_forest,dynamics_history,True,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 500}",0.6792992424242424,0.7677250963767817,0.7200257690768249,0.7552380017159961,0.9907244489217423,0.01058563619194964,5.511928766665126,0.7376318853964106
rf_balanced_leaf2_depth12,random_forest,dynamics_history,True,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.700547138047138,0.7484360209079312,0.7195001352697048,0.734719280950808,0.9907716741877834,0.009384806633329466,4.963526100002734,0.7271097081102564
rf_balanced_subsample_leaf2_depth12,random_forest,dynamics_history,True,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",0.6665163688036291,0.7632286564870835,0.7069827526970384,0.7346375084457962,0.990699991129122,0.008515076791266996,7.652680500003044,0.7208101305714173
rf_balanced_leaf1_depth12,random_forest,dynamics_history,True,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.6732078257659654,0.7519824120947716,0.7044046976588799,0.7086752858131246,0.9903420847128928,0.009638110681799964,5.070163733330749,0.7065399917360022
rf_balanced_subsample_leaf1_depth12,random_forest,dynamics_history,True,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 500}",0.6485050151745743,0.7503258289775143,0.6941786040841208,0.715458081083547,0.9901196408379942,0.008895503834276404,6.585792066665211,0.7048183425838339
